id,tweet
1.58E+18,"RT @bero_ari: Inilah toleransi semu ala Anies Baswedan. 
Mencatut nama org dan memalsukan tandatangan utk sbuah Piagam. 
Mohon bantu viralk…"
1.58E+18,"RT @Relawananies: Ratusan nelayan di Indramayu deklarasi dukung Anies Baswedan Presiden 2024, (16/10). https://t.co/g5VluXoWYr"
1.58E+18,"RT @Mdy_Asmara1701: Anies Baswedan: Orang Baik Harus Mau Masuk Politik

#IndonesiaMemanggilAnies 
#AniesPresiden2024
https://t.co/FLcIk3lB08"
1.58E+18,RT @humasjakfire: Ucapan terima kasih Satriadi Gunawan selaku Kepala Dinas Penanggulangan Kebakaran dan Penyelamatan Provinsi DKI Jakarta k…
1.58E+18,"Usai mendeklarasikan Anies Baswedan dalam Pemilu 2024, Surya Paloh mengatakan ada desakan agar NasDem dikeluarkan dari koalisi Jokowi. https://t.co/0SrD7dpp5v"
1.58E+18,"RT @DoankWarto: PMI kok ikut ikutan MAIN POLITIK galang dukungan Anies Baswedan !!!
Siapa ini dalangnya ?
Apakah dana PMI untuk kegiatan po…"
1.58E+18,RT @humasjakfire: Ucapan terima kasih Satriadi Gunawan selaku Kepala Dinas Penanggulangan Kebakaran dan Penyelamatan Provinsi DKI Jakarta k…
1.58E+18,@BosPurwa Mending ma Gatot sih. Ingat dia menantu nya Hendro
1.58E+18,"@alisyarief Namanya politik bego! Gak ada yg abadi tergantung kepentingan, Nasdrun dan PD bakal nyungsep mendukung capres didukung HTI FPI dan mantan napiter, paham Li!???!"
1.58E+18,"RT @RomitsuT: Ada apa dengan Anies Baswedan ?
Ini baru pertama kali terjadi di Indonesia bahkan dunia ( maaf kalau saya salah ) , dimana pa…"
1.58E+18,"RT @MohammadDayatS: Rakyat tahu mana pemimpin yg baik, jujur, amanah, tidak memperkaya diri sendiri dan berpihak pada rakyat kecil..

Saya…"
1.58E+18,"RT @BosPurwa: #IndonesiaMemanggil 
5 Tahun Anies Baswedan memimpin DKI Jakarta dibanding dengan periode sebelumnya maka:

Lebih baik�Retwee…"
1.58E+18,"RT @GunRomli: Bapak Christoforus Rea (Tokoh Ummat Katolik) namanya dicatut untuk gelar 'Bapak Toleransi Beragama' unt Anies Baswedan.

Dia…"
1.58E+18,"RT @alisyarief: Partai Koalisi Pemerintah 82% suaranya di Parlemen (dari 7 partai). Saat Pencapresan, tak mau bersatu. Mereka ingin sendiri…"
1.58E+18,RT @humasjakfire: Ucapan terima kasih Satriadi Gunawan selaku Kepala Dinas Penanggulangan Kebakaran dan Penyelamatan Provinsi DKI Jakarta k…
1.58E+18,"RT @akhmad_rusmadi: Dari Jogjakarta , utk Anies Baswedan ������������������ https://t.co/ivKsj3XI8w"
1.58E+18,"RT @tvOneNews: Forum Ka'bah Membangun, Siap Bawa Anies Baswedan Capres 2024 Pimpin Perubahan Indonesia https://t.co/RdTysPD6Iv"
1.58E+18,"RT @BosPurwa: #IndonesiaMemanggil 
5 Tahun Anies Baswedan memimpin DKI Jakarta dibanding dengan periode sebelumnya maka:

Lebih baik�Retwee…"
1.58E+18,"7 Potret Anies Baswedan Usai Tak Jadi Gubernur, Nomor 6 Mandikan Burung https://t.co/9DXJgQi2Na https://t.co/3iOA9DBN5G"
1.58E+18,@bawaslu_pku Siapp terimkaskh min
1.58E+18,"@Paltiwest https://t.co/ROuh00NaZk

di era ahok itu 70% tapi di anies 58% , udah kalah debat kinerja juga kalah , hadehh buzzer emg jago pura2 budek https://t.co/BLC85XFH2v"
1.58E+18,"RT @Relawananies: Untuk menjadikan Indonesia lebih baik, maka orang-orang baik harus mau terjun ke dunia politik.

Hal itu disampaikan Anie…"
1.58E+18,@bawaslu_pku Alhmdulillah
1.58E+18,"RT @intipseleb: 7 Potret Anies Baswedan Usai Tak Jadi Gubernur, Nomor 6 Mandikan Burung https://t.co/9DXJgQi2Na https://t.co/3iOA9DBN5G"
1.58E+18,@Mdy_Asmara1701 Bodo amattttt���� https://t.co/dG2mTY9usE
1.58E+18,"RT @BosPurwa: #IndonesiaMemanggil 
5 Tahun Anies Baswedan memimpin DKI Jakarta dibanding dengan periode sebelumnya maka:

Lebih baik�Retwee…"
1.58E+18,"RT @AntiCokroTV_: Menjawab tantangan Sekjen PDIP Hasto Kristiyanto, sebutkan 7 Prestasi Anies Baswedan.

@ajengcute16__ 

#PDIP #AniesBaswe…"
1.58E+18,@detikcom Insya Allah pak Anies Baswedan RI 1 2024 aamiin �
1.58E+18,RT @Sahrin84959845: Hadiah dari @karniilyas untuk Anies Baswedan yg telah berlaku adil terhadap seluruh masyarakat selama menjadi gubernur…
1.58E+18,@dewiirawan13 Wkwkw rombongan PKI yg benci pak Anies Baswedan presiden 2024 penyelamat bangsa mulai edit dan bully beliau utk adu domba
1.58E+18,"RT @musniumar: Anies Baswedan Dilepas Lautan manusia. Sebelum Anies berpidato, Ariza Patria berpidato. Anies ajak warga untuk menyanyi bers…"
1.58E+18,"RT @OposisiCerdas: Tak Mau Buru-buru Pilih Cawapres, Anies Baswedan: Waktunya Masih Panjang
https://t.co/ePMMABa42d"
1.58E+18,"RT @Relawananies: Kenduri Rakyat, Jarnas Anies Baswedan memggelar tumpengan dukung Anies Capres 2024

Kenduri Rakyat dilaksanakan serentak…"
1.58E+18,"Tentunya 99 % Rakyat indonesia sudah pasti mendukung bapak ex GUBERNUR DKI @aniesbaswedan menjadi Presiden RI 2024.

1% yg tidak mendukung biasanya Londo Ireng, Benalu Demokrasi, Buzzerp kelaparan dan kaum Zindiq �

#IndonesiaMemanggil
#JKWIngkarJanji https://t.co/SC6DpujiVl"
1.58E+18,PDIP menyindir deklarasi capres Anies Baswedan yang dilakukan Nasdem. https://t.co/4JYBwvqWZ5
1.58E+18,@AyaniMel Radikalisme anti Pancasila nggk mungkin di lawan Anies Baswedan malah di lindungi ko Anies gelontorkan hibah buat ormas"  4T lebih ..wadaaaaau
1.58E+18,"""Sebagai Ketum FPMM, saya mendukung Anies waktu Pilkada DKI Jakarta. Untuk Pilpres 2024, saya mendukung Anies lagi,"" ujar Umar Kei. #TempoNasional https://t.co/1cR3wIflFi"
1.58E+18,"RT @Mdy_Asmara1701: Anies Baswedan: Orang Baik Harus Mau Masuk Politik

#IndonesiaMemanggilAnies 
#AniesPresiden2024
https://t.co/FLcIk3lB08"
1.58E+18,"RT @Relawananies: Gelar Acara Dukungan, Warga Jateng Ingin Merasakan Dipimpin Anies Baswedan

https://t.co/mTfUjqv4L9"
1.58E+18,"@ekobigcity @pejuangnkri77 @aniesbaswedan @feryfarhati Insya Allah, Pak Anies Baswedan Presiden RI 2024, hanya kecurangan yang akan mengalahkan beliau"
1.58E+18,"RT @BosPurwa: #IndonesiaMemanggil 
5 Tahun Anies Baswedan memimpin DKI Jakarta dibanding dengan periode sebelumnya maka:

Lebih baik�Retwee…"
1.58E+18,"RT @musniumar: Anies Baswedan Dilepas Lautan manusia. Sebelum Anies berpidato, Ariza Patria berpidato. Anies ajak warga untuk menyanyi bers…"
1.58E+18,"RT @alisyarief: Partai Koalisi Pemerintah 82% suaranya di Parlemen (dari 7 partai). Saat Pencapresan, tak mau bersatu. Mereka ingin sendiri…"
1.58E+18,"RT @HelmiFelis_: Zaman Anies Baswedan rakyat sangat dimudahkan

Saking mudahnya rakyat tidak perlu datang, hanya ngadu lewat Hp atau RT set…"
1.58E+18,RT @aLy_Bima: Video ini hanya untuk orang yang belum tahu prestasi gubernur DKI jakarta bang anies baswedan � https://t.co/iO8tYUlXtu
1.58E+18,https://t.co/U3VJLKRuvo https://t.co/6XelqNtj8s
1.58E+18,@ResidentSammy @kurawa Lu aje kagak tau kriteria pembangunan mesjid mesti gimna????di Jakarta Udeh banyak mesjid mah cuma butuh renovasi yang Udeh di jalan kan Anies Baswedan
1.58E+18,"hanya pandai omdo  aja,kelebihan bayar dn php https://t.co/CO4RDpvc62"
1.58E+18,RT @kba_news: Aktivis: Anies Baswedan Jadikan Jakarta Maju seperti Kota di Eropa https://t.co/7ClSZ04jcN
1.58E+18,"RT @alisyarief: Partai Koalisi Pemerintah 82% suaranya di Parlemen (dari 7 partai). Saat Pencapresan, tak mau bersatu. Mereka ingin sendiri…"
1.58E+18,"RT @RomitsuT: Ada apa dengan Anies Baswedan ?
Ini baru pertama kali terjadi di Indonesia bahkan dunia ( maaf kalau saya salah ) , dimana pa…"
1.58E+18,"RT @VIVAcoid: Dimaki Pendemo di Depan Muka, Anies Baswedan Dipuji Warganet https://t.co/wBpv5MJoYH #trending"
1.58E+18,RT @Sahrin84959845: Hadiah dari @karniilyas untuk Anies Baswedan yg telah berlaku adil terhadap seluruh masyarakat selama menjadi gubernur…
1.58E+18,"RT @BosPurwa: #IndonesiaMemanggil 
5 Tahun Anies Baswedan memimpin DKI Jakarta dibanding dengan periode sebelumnya maka:

Lebih baik�Retwee…"
1.58E+18,"RT @Mdy_Asmara1701: Anies Baswedan: Orang Baik Harus Mau Masuk Politik

#IndonesiaMemanggilAnies 
#AniesPresiden2024
https://t.co/FLcIk3lB08"
1.58E+18,"RT @tvOneNews: Forum Ka'bah Membangun, Siap Bawa Anies Baswedan Capres 2024 Pimpin Perubahan Indonesia https://t.co/RdTysPD6Iv"
1.58E+18,"SBY-JK-Paloh Duduk Bareng, Mungkinkah Anies-AHY Segera Dideklarasikan?: Duduknya SBY, JK dan Surya Paloh dalam satu meja dengan Anies Baswedan dan Agus Harimurti Yudhoyono (AHY) memberi pesan politik bahwa keduanya akan segera dideklarasikan sebagai… https://t.co/pSWld6QwCb"
1.58E+18,"RT @bero_ari: Inilah toleransi semu ala Anies Baswedan. 
Mencatut nama org dan memalsukan tandatangan utk sbuah Piagam. 
Mohon bantu viralk…"
1.58E+18,"RT @MIlhamMukmin1: Tgl 30 Oktober silahkan merapat ke Yogyakarta......
https://t.co/OiJFAanvrP"
1.58E+18,@Muhammad_Saewad Fix ya serupa Anies BaswEDAN
1.58E+18,@HelmiFelis_ Gurbernur paling bodoh maksud loe����k3banyqkan 3mit Tai loe
1.58E+18,"RT @ocongBoyy: @Rizmaya__ orang ini beneran orang nya pak jokowi...kita liat dia di tarik sbg KaSetPres, saat pak jokowi gubernur dia menja…"
1.58E+18,@francmohede https://t.co/HbbTsyrdHA
1.58E+18,RT @aLy_Bima: Video ini hanya untuk orang yang belum tahu prestasi gubernur DKI jakarta bang anies baswedan � https://t.co/iO8tYUlXtu
1.58E+18,@bero_ari @June_dya77 @niluhdjelantik @Dennysiregar7 @dennysirregar7 @KrisyantoOni LAPORKAN PEMALSUAN KE POLDA
1.58E+18,"@alisyarief Itu kan mau lu Pak Tua..!! 
����."
1.58E+18,"@Kimberley_2022 Kerja kerja kerja
taulah
maksudnya
podo kae"
1.58E+18,"RT @Relawananies: Gelar Acara Dukungan, Warga Jateng Ingin Merasakan Dipimpin Anies Baswedan

https://t.co/mTfUjqv4L9"
1.58E+18,"RT @detikcom: #Foto Gubernur DKI Jakarta Anies Baswedan menghadiri acara perpisahannya di Balai Kota, Jakarta. Di atas panggung, Anies meny…"
1.58E+18,@kba_news https://t.co/gZctl26fpy
1.58E+18,"@kurawa Pantasan monyet² sdh ketakutan duluan dan merasa pasti kalah dr anies baswedan di pilpres 2024. Ternyata anies sangat populer di negeri ini.
https://t.co/M19rdRmGaj https://t.co/093Moszcg1"
